score_kind,tau,tp,fp,fn,tn,precision,recall,f1,tpr,fpr,accuracy
entail,0.9,2285,138,622,2769,0.9430458109781263,0.7860337117303061,0.8574108818011257,0.7860337117303061,0.047471620227038186,0.869281045751634
entail,0.91,2239,125,668,2782,0.9471235194585449,0.7702098383212934,0.8495541642952003,0.7702098383212934,0.042999656002751976,0.8636050911592708
entail,0.92,2186,110,721,2797,0.9520905923344948,0.7519779841761266,0.8402844512781088,0.7519779841761266,0.03783969728242174,0.8570691434468525
entail,0.93,2137,98,770,2809,0.9561521252796421,0.7351221190230478,0.8311940879035394,0.7351221190230478,0.03371173030615755,0.8507051943584452
entail,0.94,2074,88,833,2819,0.9592969472710453,0.7134502923976608,0.8183073584533439,0.7134502923976608,0.03027175782593739,0.8415892672858617
entail,0.95,1981,73,926,2834,0.9644595910418695,0.6814585483316133,0.7986293086071357,0.6814585483316133,0.025111799105607156,0.8281733746130031
entail,0.96,1843,59,1064,2848,0.9689800210304942,0.6339869281045751,0.7664795175712206,0.6339869281045751,0.020295837633298935,0.8068455452356381
entail,0.97,1670,42,1237,2865,0.9754672897196262,0.5744754041967665,0.723100238146785,0.5744754041967665,0.014447884416924664,0.7800137598899208
entail,0.98,1407,21,1500,2886,0.9852941176470589,0.4840041279669763,0.6491349480968859,0.4840041279669763,0.007223942208462332,0.7383900928792569
entail,0.99,859,6,2048,2901,0.9930635838150289,0.2954936360509116,0.45546129374337224,0.2954936360509116,0.0020639834881320948,0.6467148262813898
entail,1.0,0,0,2907,2907,0.0,0.0,0.0,0.0,0.0,0.5
signed,-1.0,2907,2907,0,0,0.5,1.0,0.6666666666666666,1.0,1.0,0.5
signed,-0.98,2903,1394,4,1513,0.6755876192692576,0.998624011007912,0.805941143808995,0.998624011007912,0.47953216374269003,0.759545923632611
signed,-0.96,2901,1310,6,1597,0.6889099976252672,0.9979360165118679,0.8151166057881428,0.9979360165118679,0.4506363949088407,0.7736498108015136
signed,-0.94,2894,1268,13,1639,0.695338779432965,0.9955280357757138,0.8187862498231716,0.9955280357757138,0.43618851049191604,0.7796697626418989
signed,-0.92,2885,1233,22,1674,0.7005828071879553,0.9924320605435156,0.8213523131672598,0.9924320605435156,0.4241486068111455,0.7841417268661851
signed,-0.9,2879,1200,28,1707,0.7058102476097082,0.9903680770553835,0.8242198683080445,0.9903680770553835,0.41279669762641896,0.7887856897144823
signed,-0.88,2877,1169,30,1738,0.7110726643598616,0.9896800825593395,0.8275564504530418,0.9896800825593395,0.4021327829377365,0.7937736498108016
signed,-0.86,2874,1149,33,1758,0.7143922445935869,0.9886480908152735,0.8294372294372294,0.9886480908152735,0.39525283797729616,0.7966976264189887
signed,-0.84,2872,1123,35,1784,0.7188986232790989,0.9879600963192294,0.8322225441900898,0.9879600963192294,0.38630890952872377,0.8008255933952528
signed,-0.82,2869,1106,38,1801,0.7217610062893082,0.9869281045751634,0.833769253124092,0.9869281045751634,0.3804609563123495,0.803233574131407
signed,-0.8,2866,1079,41,1828,0.726489226869455,0.9858961128310973,0.8365440747227086,0.9858961128310973,0.3711730306157551,0.8073615411076711
signed,-0.78,2863,1055,44,1852,0.7307299642674834,0.9848641210870313,0.8389743589743589,0.9848641210870313,0.3629170966632267,0.8109735122119023
signed,-0.76,2862,1043,45,1864,0.7329065300896287,0.9845201238390093,0.8402818555490311,0.9845201238390093,0.3587891296869625,0.8128654970760234
signed,-0.74,2858,1030,49,1877,0.7350823045267489,0.9831441348469212,0.8412067696835909,0.9831441348469212,0.3543171654626763,0.8144134846921225
signed,-0.72,2854,1017,53,1890,0.7372771893567553,0.9817681458548332,0.8421363233992327,0.9817681458548332,0.3498452012383901,0.8159614723082216
signed,-0.7,2851,1004,56,1903,0.7395590142671855,0.9807361541107671,0.8432416444838806,0.9807361541107671,0.3453732370141039,0.8176814585483316
signed,-0.68,2847,987,60,1920,0.7425665101721439,0.9793601651186791,0.8446817979528259,0.9793601651186791,0.3395252837977296,0.8199174406604747
signed,-0.66,2845,973,62,1934,0.7451545311681509,0.978672170622635,0.8460966542750931,0.978672170622635,0.3347093223254214,0.8219814241486069
signed,-0.64,2841,964,66,1943,0.7466491458607096,0.977296181630547,0.8465435041716329,0.977296181630547,0.33161334709322327,0.8228414172686619
signed,-0.62,2840,957,67,1950,0.7479589149328417,0.976952184382525,0.847255369928401,0.976952184382525,0.32920536635706915,0.8238734090127279
