kind,score_kind,tau,tp,fp,fn,tn,precision,recall,f1,tpr,fpr,accuracy
noun_close_entity,entail,0.86,386,56,177,507,0.8733031674208145,0.6856127886323268,0.7681592039800994,0.6856127886323268,0.0994671403197158,0.7930728241563055
noun_close_entity,entail,0.87,379,49,184,514,0.8855140186915887,0.6731793960923623,0.7648839556004036,0.6731793960923623,0.08703374777975133,0.7930728241563055
noun_close_entity,entail,0.88,366,46,197,517,0.8883495145631068,0.650088809946714,0.7507692307692307,0.650088809946714,0.08170515097690942,0.7841918294849023
noun_close_entity,entail,0.89,355,42,208,521,0.8942065491183879,0.6305506216696269,0.7395833333333333,0.6305506216696269,0.07460035523978685,0.7779751332149201
noun_close_entity,entail,0.9,346,36,217,527,0.9057591623036649,0.6145648312611013,0.7322751322751322,0.6145648312611013,0.06394316163410302,0.7753108348134992
noun_close_entity,entail,0.91,335,34,228,529,0.907859078590786,0.5950266429840142,0.7188841201716738,0.5950266429840142,0.06039076376554174,0.7673179396092362
noun_close_entity,entail,0.92,323,32,240,531,0.9098591549295775,0.5737122557726465,0.7037037037037036,0.5737122557726465,0.056838365896980464,0.7584369449378331
noun_close_entity,entail,0.93,313,26,250,537,0.9233038348082596,0.5559502664298401,0.6940133037694014,0.5559502664298401,0.046181172291296625,0.7548845470692718
noun_close_entity,entail,0.94,288,24,275,539,0.9230769230769231,0.5115452930728241,0.6582857142857144,0.5115452930728241,0.04262877442273535,0.7344582593250444
noun_close_entity,entail,0.95,270,15,293,548,0.9473684210526315,0.47957371225577267,0.6367924528301887,0.47957371225577267,0.02664298401420959,0.7264653641207816
noun_close_entity,entail,0.96,234,10,329,553,0.9590163934426229,0.41563055062166965,0.5799256505576208,0.41563055062166965,0.017761989342806393,0.6989342806394316
noun_close_entity,entail,0.97,183,7,380,556,0.9631578947368421,0.325044404973357,0.48605577689243024,0.325044404973357,0.012433392539964476,0.6563055062166963
noun_close_entity,entail,0.98,121,3,442,560,0.9758064516129032,0.21492007104795738,0.3522561863173217,0.21492007104795738,0.0053285968028419185,0.6047957371225577
noun_close_entity,entail,0.99,37,2,526,561,0.9487179487179487,0.06571936056838366,0.12292358803986712,0.06571936056838366,0.003552397868561279,0.5310834813499112
noun_close_entity,entail,1.0,0,0,563,563,0.0,0.0,0.0,0.0,0.0,0.5
noun_close_entity,signed,-1.0,563,563,0,0,0.5,1.0,0.6666666666666666,1.0,1.0,0.5
noun_close_entity,signed,-0.98,562,558,1,5,0.5017857142857143,0.9982238010657194,0.6678550207961972,0.9982238010657194,0.9911190053285968,0.5035523978685613
noun_close_entity,signed,-0.96,562,545,1,18,0.5076784101174345,0.9982238010657194,0.6730538922155689,0.9982238010657194,0.9680284191829485,0.5150976909413855
noun_close_entity,signed,-0.94,561,538,2,25,0.5104640582347588,0.9964476021314387,0.6750902527075813,0.9964476021314387,0.955595026642984,0.5204262877442274
noun_close_entity,signed,-0.92,558,529,5,34,0.5133394664213431,0.9911190053285968,0.6763636363636363,0.9911190053285968,0.9396092362344582,0.5257548845470693
noun_close_entity,signed,-0.9,558,513,5,50,0.5210084033613446,0.9911190053285968,0.6829865361077111,0.9911190053285968,0.911190053285968,0.5399644760213144
noun_close_entity,signed,-0.88,558,502,5,61,0.5264150943396226,0.9911190053285968,0.6876155268022182,0.9911190053285968,0.8916518650088809,0.5497335701598579
noun_close_entity,signed,-0.86,558,494,5,69,0.5304182509505704,0.9911190053285968,0.6910216718266254,0.9911190053285968,0.8774422735346359,0.5568383658969804
noun_close_entity,signed,-0.84,558,486,5,77,0.5344827586206896,0.9911190053285968,0.6944617299315493,0.9911190053285968,0.8632326820603907,0.5639431616341031
noun_close_entity,signed,-0.82,556,481,7,82,0.5361620057859209,0.9875666074600356,0.695,0.9875666074600356,0.8543516873889876,0.566607460035524
noun_close_entity,signed,-0.8,556,469,7,94,0.5424390243902439,0.9875666074600356,0.7002518891687658,0.9875666074600356,0.8330373001776199,0.5772646536412078
noun_close_entity,signed,-0.78,555,459,8,104,0.5473372781065089,0.9857904085257548,0.703868103994927,0.9857904085257548,0.8152753108348135,0.5852575488454707
noun_close_entity,signed,-0.76,554,456,9,107,0.5485148514851486,0.9840142095914742,0.7043865225683408,0.9840142095914742,0.8099467140319716,0.5870337477797514
noun_close_entity,signed,-0.74,553,451,10,112,0.5507968127490039,0.9822380106571936,0.7058072750478621,0.9822380106571936,0.8010657193605684,0.5905861456483126
noun_close_entity,signed,-0.72,553,445,10,118,0.5541082164328658,0.9822380106571936,0.7085201793721974,0.9822380106571936,0.7904085257548845,0.5959147424511545
noun_close_entity,signed,-0.7,553,439,10,124,0.5574596774193549,0.9822380106571936,0.7112540192926046,0.9822380106571936,0.7797513321492007,0.6012433392539964
noun_close_entity,signed,-0.68,550,433,13,130,0.5595116988809766,0.9769094138543517,0.7115135834411385,0.9769094138543517,0.7690941385435168,0.6039076376554174
noun_close_entity,signed,-0.66,549,426,14,137,0.563076923076923,0.9751332149200711,0.7139141742522757,0.9751332149200711,0.7566607460035524,0.6092362344582594
noun_close_entity,signed,-0.64,548,424,15,139,0.5637860082304527,0.9733570159857904,0.7140065146579804,0.9733570159857904,0.7531083481349912,0.6101243339253997
noun_close_entity,signed,-0.62,548,421,15,142,0.5655314757481941,0.9733570159857904,0.7154046997389035,0.9733570159857904,0.7477797513321492,0.6127886323268206
noun_close_entity,signed,-0.6,548,416,15,147,0.5684647302904564,0.9733570159857904,0.7177472167648985,0.9733570159857904,0.738898756660746,0.6172291296625222
noun_close_entity,signed,-0.58,546,410,17,153,0.5711297071129707,0.9698046181172292,0.7188940092165899,0.9698046181172292,0.7282415630550622,0.6207815275310835
noun_close_entity,signed,-0.56,543,402,20,161,0.5746031746031746,0.9644760213143873,0.7201591511936338,0.9644760213143873,0.7140319715808171,0.6252220248667851
noun_close_entity,signed,-0.54,543,399,20,164,0.5764331210191083,0.9644760213143873,0.7215946843853821,0.9644760213143873,0.7087033747779752,0.627886323268206
noun_close_entity,signed,-0.52,542,391,21,172,0.5809217577706324,0.9626998223801065,0.7245989304812833,0.9626998223801065,0.69449378330373,0.6341030195381883
noun_close_entity,signed,-0.5,541,386,22,177,0.5836030204962244,0.9609236234458259,0.7261744966442952,0.9609236234458259,0.6856127886323268,0.6376554174067496
noun_close_entity,signed,-0.48,540,385,23,178,0.5837837837837838,0.9591474245115453,0.7258064516129032,0.9591474245115453,0.6838365896980462,0.6376554174067496
noun_close_entity,signed,-0.46,540,381,23,182,0.5863192182410424,0.9591474245115453,0.7277628032345014,0.9591474245115453,0.6767317939609236,0.6412078152753108
noun_close_entity,signed,-0.44,539,374,24,189,0.5903614457831325,0.9573712255772646,0.7303523035230353,0.9573712255772646,0.6642984014209592,0.6465364120781527
noun_close_entity,signed,-0.42,537,370,26,193,0.5920617420066152,0.9538188277087034,0.7306122448979592,0.9538188277087034,0.6571936056838366,0.6483126110124334
noun_close_entity,signed,-0.4,537,366,26,197,0.5946843853820598,0.9538188277087034,0.732605729877217,0.9538188277087034,0.650088809946714,0.6518650088809946
noun_close_entity,signed,-0.38,536,360,27,203,0.5982142857142857,0.9520426287744227,0.73474982864976,0.9520426287744227,0.6394316163410302,0.6563055062166963
noun_close_entity,signed,-0.36,536,355,27,208,0.6015712682379349,0.9520426287744227,0.7372764786795047,0.9520426287744227,0.6305506216696269,0.6607460035523979
noun_close_entity,signed,-0.34,535,350,28,213,0.6045197740112994,0.9502664298401421,0.7389502762430938,0.9502664298401421,0.6216696269982238,0.6642984014209592
noun_close_entity,signed,-0.32,535,348,28,215,0.6058890147225368,0.9502664298401421,0.7399723374827109,0.9502664298401421,0.6181172291296625,0.6660746003552398
noun_close_entity,signed,-0.3,535,341,28,222,0.610730593607306,0.9502664298401421,0.7435719249478805,0.9502664298401421,0.605683836589698,0.672291296625222
noun_close_entity,signed,-0.28,533,333,30,230,0.6154734411085451,0.9467140319715808,0.7459762071378586,0.9467140319715808,0.5914742451154529,0.677619893428064
noun_close_entity,signed,-0.26,532,327,31,236,0.619324796274738,0.9449378330373002,0.7482419127988748,0.9449378330373002,0.5808170515097691,0.6820603907637656
noun_close_entity,signed,-0.24,531,321,32,242,0.6232394366197183,0.9431616341030196,0.750530035335689,0.9431616341030196,0.5701598579040853,0.6865008880994672
noun_close_entity,signed,-0.22,529,320,34,243,0.6230859835100118,0.9396092362344582,0.7492917847025496,0.9396092362344582,0.5683836589698046,0.6856127886323268
noun_close_entity,signed,-0.2,529,312,34,251,0.629013079667063,0.9396092362344582,0.7535612535612534,0.9396092362344582,0.5541740674955595,0.6927175843694494
noun_close_entity,signed,-0.18,529,305,34,258,0.6342925659472423,0.9396092362344582,0.7573371510379386,0.9396092362344582,0.5417406749555951,0.6989342806394316
noun_close_entity,signed,-0.16,529,304,34,259,0.6350540216086434,0.9396092362344582,0.7578796561604584,0.9396092362344582,0.5399644760213144,0.6998223801065719
noun_close_entity,signed,-0.14,528,300,35,263,0.6376811594202898,0.9378330373001776,0.7591660675772824,0.9378330373001776,0.5328596802841918,0.7024866785079928
noun_close_entity,signed,-0.12,526,298,37,265,0.6383495145631068,0.9342806394316163,0.7584715212689257,0.9342806394316163,0.5293072824156305,0.7024866785079928
